Feature Name,Importance Score,Percentage Contribution
built_up_area,0.5031781342833153,50.317813428331526
bedRoom,0.1101060231460101,11.01060231460101
bathroom,0.10630251394881662,10.630251394881663
property_type,0.08199816812426083,8.199816812426084
sector,0.07956328522910569,7.956328522910569
servant room,0.01945444975773813,1.945444975773813
balcony,0.016001046483552724,1.6001046483552723
sector_sector 26,0.007269418821290834,0.7269418821290834
furnishing_type,0.006719809063635307,0.6719809063635307
agePossession,0.00598340314506749,0.598340314506749
floor_category,0.005443525814829483,0.5443525814829483
sector_sector 65,0.004800877841516018,0.48008778415160175
luxury_category,0.004411982244527283,0.4411982244527283
store room,0.003149701003886681,0.3149701003886681
sector_sector 25,0.002705257089716576,0.2705257089716576
sector_sector 54,0.0025056360524970327,0.2505636052497033
agePossession_Relatively New,0.0023675689422337225,0.23675689422337226
sector_sector 43,0.00231509838567102,0.231509838567102
agePossession_Old Property,0.002216548500422377,0.22165485004223773
sector_manesar,0.00197608954409621,0.19760895440962098
sector_sector 50,0.0019294940621637912,0.19294940621637913
agePossession_New Property,0.0017625853360069821,0.1762585336006982
sector_sector 53,0.0015457812541908515,0.15457812541908514
sector_sector 92,0.001472037259322255,0.1472037259322255
sector_sector 37,0.001369504856824642,0.1369504856824642
sector_sector 4,0.0010601228335610088,0.10601228335610088
sector_sector 12,0.0009559411321820113,0.09559411321820113
sector_sector 95,0.0008755672786567477,0.08755672786567477
sector_sector 70a,0.0007949204676472155,0.07949204676472155
sector_sector 56,0.000774325288321221,0.07743252883212211
agePossession_Under Construction,0.0007066191655372636,0.07066191655372636
sector_sector 61,0.000657608798972759,0.0657608798972759
sector_sector 37d,0.0006519259269234018,0.06519259269234018
sector_sector 108,0.0006267155848366554,0.06267155848366554
sector_sector 109,0.0006034381170874558,0.06034381170874558
sector_sector 24,0.0005986539165322954,0.05986539165322954
sector_sector 102,0.0005968332639264214,0.059683326392642136
sector_sector 66,0.0005417509461026162,0.05417509461026162
sector_sector 81,0.0005414242316256477,0.05414242316256477
sector_sector 113,0.0005303260720319308,0.053032607203193076
sector_sector 22,0.0005241628507699511,0.05241628507699511
sector_sector 62,0.0005235564061868539,0.05235564061868539
sector_sector 105,0.0005169290653371455,0.05169290653371455
sector_sector 67,0.0005110784030975305,0.05110784030975305
sector_sector 3,0.0005047752641600587,0.05047752641600587
sector_sohna road,0.0004914903375603763,0.04914903375603763
sector_sector 28,0.00047427706408651946,0.047427706408651946
sector_sector 48,0.00040830272168833586,0.04083027216883359
sector_sector 72,0.0003916069638950916,0.039160696389509156
sector_sector 85,0.0003760566340565885,0.037605663405658844
sector_sector 7,0.0003542220437684952,0.035422204376849516
sector_sector 11,0.0003093660721778954,0.030936607217789538
sector_sector 90,0.00029750665195114786,0.029750665195114784
sector_sector 107,0.00029650480141614423,0.02965048014161442
sector_sector 33,0.0002870936431943457,0.02870936431943457
sector_sector 84,0.0002838552746785611,0.02838552746785611
sector_sector 103,0.0002779436009213611,0.027794360092136112
sector_sector 57,0.0002617723225030093,0.026177232250300927
sector_sector 5,0.0002493761963044182,0.024937619630441818
sector_sector 2,0.00024427159834490217,0.024427159834490217
sector_sector 71,0.00021809797983872936,0.021809797983872937
sector_sector 82,0.0002156515244462742,0.02156515244462742
sector_gwal pahari,0.00021212037500933359,0.02121203750093336
sector_sector 86,0.00020937703113548762,0.020937703113548763
sector_sector 106,0.00020751400828649733,0.020751400828649732
sector_sector 104,0.0002023776557251876,0.020237765572518763
sector_sector 79,0.0001974791424623487,0.019747914246234868
sector_sector 74,0.0001936360066396971,0.01936360066396971
sector_sector 49,0.0001930863542849762,0.01930863542849762
sector_sector 78,0.0001807024641311352,0.01807024641311352
sector_sector 39,0.0001794325224787122,0.01794325224787122
sector_sector 45,0.00017917769877304543,0.01791776987730454
sector_sector 31,0.00017075130651133047,0.017075130651133048
sector_sector 60,0.00015664235430438433,0.015664235430438433
sector_sector 69,0.0001565028835775332,0.015650288357753322
sector_sector 63,0.00015322926248147184,0.015322926248147184
sector_sector 112,0.00014735779945152018,0.014735779945152018
sector_sector 59,0.00014725439068807438,0.014725439068807437
sector_sector 14,0.0001445854615562908,0.01445854615562908
sector_sector 70,0.00014230630747121069,0.01423063074712107
sector_sector 1,0.0001237747108847384,0.012377471088473839
sector_sector 77,0.00012258399883986645,0.012258399883986646
sector_sector 38,0.0001206753500282952,0.01206753500282952
sector_sector 82a,0.00011203693772188359,0.011203693772188359
sector_sector 68,0.00010149426959852043,0.010149426959852043
sector_sector 110,9.826909577295987e-05,0.009826909577295987
sector_sector 83,8.407830643816635e-05,0.008407830643816635
sector_sector 89,7.779866836026223e-05,0.007779866836026222
sector_sector 6,6.473861568813791e-05,0.006473861568813791
sector_sector 99,6.387716295405303e-05,0.0063877162954053025
sector_sector 21,6.193667760073206e-05,0.006193667760073206
sector_sector 52,5.725497315909892e-05,0.005725497315909892
sector_sector 58,5.26046622104186e-05,0.00526046622104186
sector_sector 9,4.937439645510335e-05,0.004937439645510335
sector_sector 63a,4.7062363713758504e-05,0.00470623637137585
sector_sector 40,4.587034252115579e-05,0.0045870342521155795
sector_sector 36,4.586878076795972e-05,0.004586878076795972
sector_sector 88a,4.533206017714401e-05,0.004533206017714401
sector_sector 47,4.2140010857670496e-05,0.00421400108576705
sector_sector 76,4.047725395062496e-05,0.004047725395062496
sector_sector 111,4.0439144167989006e-05,0.004043914416798901
sector_sector 8,3.721203567625717e-05,0.003721203567625717
sector_sector 91,3.477317409855981e-05,0.003477317409855981
sector_sector 13,2.9737123465926014e-05,0.0029737123465926013
sector_sector 17,2.685862389542308e-05,0.002685862389542308
sector_sector 67a,2.2909765210769996e-05,0.002290976521077
sector_sector 46,1.7256196667630544e-05,0.0017256196667630543
sector_sector 93,1.4836203355120186e-05,0.0014836203355120187
sector_sector 55,1.4707741879091044e-05,0.0014707741879091043
sector_sector 23,1.4418308916911784e-05,0.0014418308916911784
sector_sector 41,1.3088093176102414e-05,0.0013088093176102415
sector_sector 80,6.798569940088155e-06,0.0006798569940088155
sector_sector 10,4.734967193521553e-06,0.0004734967193521553
sector_sector 30,4.179160194895155e-06,0.0004179160194895155
sector_sector 51,2.9767842748810315e-06,0.00029767842748810314
sector_sector 15,2.28181019172976e-06,0.00022818101917297602
sector_sector 73,0.0,0.0
sector_sector 88,0.0,0.0
sector_sector 27,0.0,0.0
